type;mapping;subject_id;subject_label;predicate_id;predicate_modifier;object_id;object_label;replaces;aligns;implements
standard;hrim:2EFEE185;loinc:LA3-6;"""Female""@en";hriv:hasExactMeaning;Not;hrio:FemaleSex;"""Female Sex""@en";;;
standard;hrim:3A1E867F;loinc:LA3-6;"""Female""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedFemaleGender;"""Self-identified Female Gender""@en";;;
standard;hrim:703633D0;loinc:LA3-6;"""Female""@en";hriv:hasExactMeaning;Not;hrio:FemaleGender;"""Female Gender""@en";;;
standard;hrim:A1BC897B;loinc:LA3-6;"""Female""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirthFemaleSex;"""Sex-at-birth Female Sex""@en";;;
standard;hrim:F8933205;loinc:LA3-6;"""Female""@en";hriv:hasExactMeaning;Not;hrio:AdministrativeFemaleGender;"""Administrative Female Gender""@en";;;
standard;hrim:6E305CF1;loinc:LA4489-6;"""Unknown (sex/gender response)""@en";hriv:hasExactMeaning;Not;hrio:IndeterminateSex;"""Indeterminate Sex""@en";;;
standard;hrim:A2B18F90;loinc:LA4489-6;"""Unknown (sex/gender response)""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirthUnassignedPerson;"""Sex-at-birth-unassigned Person""@en";;;
standard;hrim:CAF52B45;loinc:LA4489-6;"""Unknown (sex/gender response)""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirthIndeterminateSex;"""Sex-at-birth Indeterminate Sex""@en";;;
standard;hrim:D77F0A9B;loinc:LA4489-6;"""Unknown (sex/gender response)""@en";hriv:hasExactMeaning;Not;hrio:LegallyUnassignedGenderPerson;"""Legally Unassigned Gender Person""@en";;;
standard;hrim:7109FAC1;loinc:LA4512-5;"""Transsexual""@en";hriv:hasExactMeaning;Not;hrio:TransgenderPerson;"""Transgender Person""@en";;;
standard;hrim:DABA7C3E;loinc:LA4512-5;"""Transsexual""@en";hriv:hasExactMeaning;Not;hrio:ExternallyAttributedTransgenderPerson;"""Externally-attributed Transgender Person""@en";;;
standard;hrim:FA0A28AE;loinc:LA4512-5;"""Transsexual""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedTransgenderPerson;"""Self-identified Transgender Person""@en";;;
standard;hrim:0B7705EE;loinc:LA46-8;"""Other (sex/gender response)""@en";hriv:hasExactMeaning;Not;hrio:NonBinaryGender;"""Non-binary Gender""@en";;;
standard;hrim:989C4E05;loinc:LA46-8;"""Other (sex/gender response)""@en";hriv:hasExactMeaning;Not;hrio:IndeterminateSex;"""Indeterminate Sex""@en";;;
standard;hrim:C8F90D22;loinc:LA46-8;"""Other (sex/gender response)""@en";hriv:hasExactMeaning;Not;hrio:NonBinarySexGender;"""Non-binary Sex-Gender""@en";;;
standard;hrim:0AAD2458;loinc:LA4732-9;"""Other (hermaphrodite)""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirthIndeterminateSex;"""Sex-at-birth Indeterminate Sex""@en";;;
standard;hrim:1CDED3BF;loinc:LA4732-9;"""Other (hermaphrodite)""@en";hriv:hasExactMeaning;Not;hrio:IndeterminateSex;"""Indeterminate Sex""@en";;;
standard;hrim:5E5912F3;loinc:LA4732-9;"""Other (hermaphrodite)""@en";hriv:hasExactMeaning;Not;hrio:PhenotypicAmbiguousSex;"""Phenotypic Ambiguous Sex""@en";;;
standard;hrim:88089BA3;mesh:D005783;"""Gender Identity""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedGender;"""Self-identified Gender""@en";;;
